data,valor,selic_aa,num_indice
2022-01-04,0.034749,9.15,1223.5006020608564
2022-01-03,0.034749,9.15,1223.0755955221684
2021-12-31,0.034749,9.15,1222.6507366177013
2021-12-30,0.034749,9.15,1222.226025296171
2021-12-29,0.034749,9.15,1221.8014615063123
2021-12-28,0.034749,9.15,1221.377045196877
2021-12-27,0.034749,9.15,1220.9527763166348
2021-12-24,0.034749,9.15,1220.5286548143733
2021-12-23,0.034749,9.15,1220.1046806388981
2021-12-22,0.034749,9.15,1219.6808537390323
2021-12-21,0.034749,9.15,1219.257174063617
2021-12-20,0.034749,9.15,1218.8336415615108
2021-12-17,0.034749,9.15,1218.4102561815903
2021-12-16,0.034749,9.15,1217.9870178727497
2021-12-15,0.034749,9.15,1217.5639265839009
2021-12-14,0.034749,9.15,1217.140982263974
2021-12-13,0.034749,9.15,1216.7181848619166
2021-12-10,0.034749,9.15,1216.2955343266933
2021-12-09,0.034749,9.15,1215.8730306072878
2021-12-08,0.029256,7.65,1215.5174188312342
2021-12-07,0.029256,7.65,1215.1619110625338
2021-12-06,0.029256,7.65,1214.8065072707664
2021-12-03,0.029256,7.65,1214.4512074255222
2021-12-02,0.029256,7.65,1214.0960114963987
2021-12-01,0.029256,7.65,1213.7409194530035
2021-11-30,0.029256,7.65,1213.3859312649524
2021-11-29,0.029256,7.65,1213.0310469018707
2021-11-26,0.029256,7.65,1212.6762663333923
2021-11-25,0.029256,7.65,1212.3215895291596
2021-11-24,0.029256,7.65,1211.967016458824
2021-11-23,0.029256,7.65,1211.6125470920467
2021-11-22,0.029256,7.65,1211.2581813984966
2021-11-19,0.029256,7.65,1210.903919347852
2021-11-18,0.029256,7.65,1210.5497609098002
2021-11-17,0.029256,7.65,1210.1957060540367
2021-11-16,0.029256,7.65,1209.841754750267
2021-11-12,0.029256,7.65,1209.4879069682042
2021-11-11,0.029256,7.65,1209.134162677571
2021-11-10,0.029256,7.65,1208.7805218480992
2021-11-09,0.029256,7.65,1208.4269844495284
2021-11-08,0.029256,7.65,1208.073550451608
2021-11-05,0.029256,7.65,1207.7202198240964
2021-11-04,0.029256,7.65,1207.3669925367597
2021-11-03,0.029256,7.65,1207.0138685593736
2021-11-01,0.029256,7.65,1206.6608478617231
2021-10-29,0.029256,7.65,1206.3079304136013
2021-10-28,0.029256,7.65,1205.95511618481
2021-10-27,0.023687,6.15,1205.6695292434183
2021-10-26,0.023687,6.15,1205.3840099329855
2021-10-25,0.023687,6.15,1205.098558237496
2021-10-22,0.023687,6.15,1204.813174140937
2021-10-21,0.023687,6.15,1204.527857627301
2021-10-20,0.023687,6.15,1204.2426086805829
2021-10-19,0.023687,6.15,1203.9574272847822
2021-10-18,0.023687,6.15,1203.6723134239014
2021-10-15,0.023687,6.15,1203.3872670819478
2021-10-14,0.023687,6.15,1203.1022882429315
2021-10-13,0.023687,6.15,1202.8173768908673
2021-10-11,0.023687,6.15,1202.5325330097733
2021-10-08,0.023687,6.15,1202.2477565836714
2021-10-07,0.023687,6.15,1201.9630475965873
2021-10-06,0.023687,6.15,1201.6784060325504
2021-10-05,0.023687,6.15,1201.393831875594
2021-10-04,0.023687,6.15,1201.1093251097557
2021-10-01,0.023687,6.15,1200.8248857190752
2021-09-30,0.023687,6.15,1200.5405136875981
2021-09-29,0.023687,6.15,1200.2562089993723
2021-09-28,0.023687,6.15,1199.9719716384507
2021-09-27,0.023687,6.15,1199.6878015888883
2021-09-24,0.023687,6.15,1199.4036988347455
2021-09-23,0.023687,6.15,1199.1196633600855
2021-09-22,0.01993,5.15,1198.8807264313075
2021-09-21,0.01993,5.15,1198.6418371131708
2021-09-20,0.01993,5.15,1198.4029953961885
2021-09-17,0.01993,5.15,1198.1642012708753
2021-09-16,0.01993,5.15,1197.925454727748
2021-09-15,0.01993,5.15,1197.6867557573255
2021-09-14,0.01993,5.15,1197.4481043501285
2021-09-13,0.01993,5.15,1197.2095004966795
2021-09-10,0.01993,5.15,1196.970944187503
2021-09-09,0.01993,5.15,1196.7324354131251
2021-09-08,0.01993,5.15,1196.4939741640742
2021-09-06,0.01993,5.15,1196.2555604308802
2021-09-03,0.01993,5.15,1196.0171942040752
2021-09-02,0.01993,5.15,1195.778875474193
2021-09-01,0.01993,5.15,1195.5406042317697
2021-08-31,0.01993,5.15,1195.3023804673426
2021-08-30,0.01993,5.15,1195.0642041714514
2021-08-27,0.01993,5.15,1194.8260753346372
2021-08-26,0.01993,5.15,1194.5879939474432
2021-08-25,0.01993,5.15,1194.349960000415
2021-08-24,0.01993,5.15,1194.1119734840997
2021-08-23,0.01993,5.15,1193.874034389046
2021-08-20,0.01993,5.15,1193.6361427058048
2021-08-19,0.01993,5.15,1193.3982984249285
2021-08-18,0.01993,5.15,1193.1605015369723
2021-08-17,0.01993,5.15,1192.922752032492
2021-08-16,0.01993,5.15,1192.6850499020466
2021-08-13,0.01993,5.15,1192.4473951361958
2021-08-12,0.01993,5.15,1192.209787725502
2021-08-11,0.01993,5.15,1191.9722276605294
2021-08-10,0.01993,5.15,1191.7347149318434
2021-08-09,0.01993,5.15,1191.4972495300121
2021-08-06,0.01993,5.15,1191.259831445605
2021-08-05,0.01993,5.15,1191.0224606691936
2021-08-04,0.016137,4.15,1190.830296384266
2021-08-03,0.016137,4.15,1190.6381631038857
2021-08-02,0.016137,4.15,1190.4460608230509
2021-07-30,0.016137,4.15,1190.2539895367593
2021-07-29,0.016137,4.15,1190.0619492400103
2021-07-28,0.016137,4.15,1189.8699399278041
2021-07-27,0.016137,4.15,1189.6779615951414
2021-07-26,0.016137,4.15,1189.4860142370242
2021-07-23,0.016137,4.15,1189.2940978484542
2021-07-22,0.016137,4.15,1189.1022124244355
2021-07-21,0.016137,4.15,1188.9103579599712
2021-07-20,0.016137,4.15,1188.718534450067
2021-07-19,0.016137,4.15,1188.5267418897283
2021-07-16,0.016137,4.15,1188.3349802739615
2021-07-15,0.016137,4.15,1188.143249597774
2021-07-14,0.016137,4.15,1187.9515498561736
2021-07-13,0.016137,4.15,1187.7598810441696
2021-07-12,0.016137,4.15,1187.5682431567714
2021-07-09,0.016137,4.15,1187.3766361889896
2021-07-08,0.016137,4.15,1187.1850601358353
2021-07-07,0.016137,4.15,1186.9935149923208
2021-07-06,0.016137,4.15,1186.8020007534592
2021-07-05,0.016137,4.15,1186.610517414264
2021-07-02,0.016137,4.15,1186.4190649697498
2021-07-01,0.016137,4.15,1186.2276434149317
2021-06-30,0.016137,4.15,1186.0362527448262
2021-06-29,0.016137,4.15,1185.8448929544502
2021-06-28,0.016137,4.15,1185.6535640388213
2021-06-25,0.016137,4.15,1185.4622659929578
2021-06-24,0.016137,4.15,1185.2709988118795
2021-06-23,0.016137,4.15,1185.0797624906063
2021-06-22,0.016137,4.15,1184.8885570241591
2021-06-21,0.016137,4.15,1184.69738240756
2021-06-18,0.016137,4.15,1184.5062386358313
2021-06-17,0.016137,4.15,1184.3151257039965
2021-06-16,0.013269,3.4,1184.1579997790059
2021-06-15,0.013269,3.4,1184.000894700288
2021-06-14,0.013269,3.4,1183.8438104650772
2021-06-11,0.013269,3.4,1183.6867470706088
2021-06-10,0.013269,3.4,1183.5297045141167
2021-06-09,0.013269,3.4,1183.3726827928367
2021-06-08,0.013269,3.4,1183.215681904005
2021-06-07,0.013269,3.4,1183.058701844857
2021-06-04,0.013269,3.4,1182.9017426126297
2021-06-02,0.013269,3.4,1182.7448042045596
2021-06-01,0.013269,3.4,1182.5878866178841
2021-05-31,0.013269,3.4,1182.4309898498411
2021-05-28,0.013269,3.4,1182.274113897668
2021-05-27,0.013269,3.4,1182.1172587586032
2021-05-26,0.013269,3.4,1181.9604244298857
2021-05-25,0.013269,3.4,1181.803610908754
2021-05-24,0.013269,3.4,1181.6468181924479
2021-05-21,0.013269,3.4,1181.4900462782073
2021-05-20,0.013269,3.4,1181.333295163272
2021-05-19,0.013269,3.4,1181.176564844883
2021-05-18,0.013269,3.4,1181.0198553202802
2021-05-17,0.013269,3.4,1180.863166586706
2021-05-14,0.013269,3.4,1180.7064986414011
2021-05-13,0.013269,3.4,1180.549851481608
2021-05-12,0.013269,3.4,1180.393225104569
2021-05-11,0.013269,3.4,1180.2366195075263
2021-05-10,0.013269,3.4,1180.0800346877236
2021-05-07,0.013269,3.4,1179.923470642404
2021-05-06,0.013269,3.4,1179.7669273688114
2021-05-05,0.010379,2.65,1179.6444920669796
2021-05-04,0.010379,2.65,1179.5220694713892
2021-05-03,0.010379,2.65,1179.3996595807214
2021-04-30,0.010379,2.65,1179.2772623936576
2021-04-29,0.010379,2.65,1179.1548779088791
2021-04-28,0.010379,2.65,1179.0325061250683
2021-04-27,0.010379,2.65,1178.910147040907
2021-04-26,0.010379,2.65,1178.7878006550773
2021-04-23,0.010379,2.65,1178.6654669662607
2021-04-22,0.010379,2.65,1178.54314597314
2021-04-20,0.010379,2.65,1178.4208376743977
2021-04-19,0.010379,2.65,1178.2985420687164
2021-04-16,0.010379,2.65,1178.1762591547786
2021-04-15,0.010379,2.65,1178.0539889312672
2021-04-14,0.010379,2.65,1177.9317313968654
2021-04-13,0.010379,2.65,1177.8094865502562
2021-04-12,0.010379,2.65,1177.6872543901231
2021-04-09,0.010379,2.65,1177.5650349151492
2021-04-08,0.010379,2.65,1177.4428281240182
2021-04-07,0.010379,2.65,1177.3206340154138
2021-04-06,0.010379,2.65,1177.1984525880198
2021-04-05,0.010379,2.65,1177.0762838405196
2021-04-01,0.010379,2.65,1176.9541277715985
2021-03-31,0.010379,2.65,1176.8319843799395
2021-03-30,0.010379,2.65,1176.7098536642275
2021-03-29,0.010379,2.65,1176.5877356231472
