,Indicador,Data,DataReferencia,Media,Mediana,Minimo,Maximo,numeroRespondentes
678,IPCA,2022-08-18,04/2023,0.4435,0.44,0.17,0.704,61
679,IPCA,2022-08-18,04/2023,0.4608,0.45,0.17,0.79,134
680,Câmbio,2022-08-18,04/2023,5.1216,5.1512,4.5,5.9143,46
681,Câmbio,2022-08-18,04/2023,5.1718,5.2,4.5,5.9143,107
682,Taxa de desocupação,2022-08-18,04/2023,9.7083,9.9,7.1,11.69,23
683,Taxa de desocupação,2022-08-18,04/2023,9.7342,9.8855,7.1,11.69,48
684,IPCA Livres,2022-08-18,04/2023,0.412,0.4053,0.17,0.55,23
685,IPCA Livres,2022-08-18,04/2023,0.4206,0.41,0.17,0.87,63
686,IPCA Serviços,2022-08-18,04/2023,0.3871,0.4,0.12,0.6,19
687,IPCA Serviços,2022-08-18,04/2023,0.3891,0.4,0.12,0.6,52
688,IPCA Bens industrializados,2022-08-18,04/2023,0.3639,0.4,0.07,0.7,19
689,IPCA Bens industrializados,2022-08-18,04/2023,0.3326,0.3,-0.04,1.09,52
690,IPCA Alimentação no domicílio,2022-08-18,04/2023,0.5854,0.58,0.0224,1.28,19
691,IPCA Alimentação no domicílio,2022-08-18,04/2023,0.6139,0.58,0.0224,2.1,52
692,IPCA Administrados,2022-08-18,04/2023,0.5547,0.624,-0.01,1.1537,24
693,IPCA Administrados,2022-08-18,04/2023,0.6071,0.61,-0.03,1.46,68
694,IGP-M,2022-08-18,03/2023,0.3894,0.4,0.1,0.785,27
695,IGP-M,2022-08-18,03/2023,0.3965,0.3906,0.06,1.044,78
696,IPCA,2022-08-18,03/2023,0.4466,0.44,0.2,0.694,61
697,IPCA,2022-08-18,03/2023,0.4889,0.49,0.19,1.3128,134
698,Câmbio,2022-08-18,03/2023,5.13,5.1788,4.6,5.8687,46
699,Câmbio,2022-08-18,03/2023,5.1747,5.2,4.6,5.8687,108
700,Taxa de desocupação,2022-08-18,03/2023,9.6626,9.9,7.0,11.67,23
701,Taxa de desocupação,2022-08-18,03/2023,9.7136,9.8,7.0,11.67,49
702,IPCA Livres,2022-08-18,03/2023,0.3625,0.4,0.03,0.64,23
703,IPCA Livres,2022-08-18,03/2023,0.4233,0.43,0.03,0.83,63
704,IPCA Serviços,2022-08-18,03/2023,0.3345,0.32,-0.01,0.76,19
705,IPCA Serviços,2022-08-18,03/2023,0.3503,0.325,-0.01,0.76,52
706,IPCA Bens industrializados,2022-08-18,03/2023,0.3681,0.4,0.0,0.62,19
707,IPCA Bens industrializados,2022-08-18,03/2023,0.3731,0.385,0.0,0.71,52
708,IPCA Alimentação no domicílio,2022-08-18,03/2023,0.6963,0.7,-0.23,1.49,19
709,IPCA Alimentação no domicílio,2022-08-18,03/2023,0.676,0.685,-0.23,1.49,52
710,IPCA Administrados,2022-08-18,03/2023,0.5327,0.41,0.24,1.3,24
711,IPCA Administrados,2022-08-18,03/2023,0.5674,0.5,-0.26,2.09,68
712,IGP-M,2022-08-18,02/2023,0.4196,0.45,-0.1,0.7,27
713,IGP-M,2022-08-18,02/2023,0.4206,0.415,-0.1,1.01,78
714,IPCA,2022-08-18,02/2023,0.6477,0.65,0.3,1.15,61
715,IPCA,2022-08-18,02/2023,0.6679,0.67,0.3,1.15,134
716,Câmbio,2022-08-18,02/2023,5.1392,5.2,4.7,5.8211,46
717,Câmbio,2022-08-18,02/2023,5.1835,5.2,4.7,5.8211,108
718,Taxa de desocupação,2022-08-18,02/2023,9.3974,9.54,7.0,11.32,23
719,Taxa de desocupação,2022-08-18,02/2023,9.4902,9.58,7.0,11.32,48
720,IPCA Livres,2022-08-18,02/2023,0.6599,0.65,0.29,1.27,23
721,IPCA Livres,2022-08-18,02/2023,0.6638,0.69,0.26,1.27,63
722,IPCA Serviços,2022-08-18,02/2023,1.0082,1.01,0.4,1.3,19
723,IPCA Serviços,2022-08-18,02/2023,0.9951,1.035,0.37,1.32,52
724,IPCA Bens industrializados,2022-08-18,02/2023,0.3975,0.38,0.2,0.73,19
725,IPCA Bens industrializados,2022-08-18,02/2023,0.4227,0.41,0.06,0.8,52
726,IPCA Alimentação no domicílio,2022-08-18,02/2023,0.3525,0.4,-0.26,0.91,19
727,IPCA Alimentação no domicílio,2022-08-18,02/2023,0.3265,0.33,-0.69,0.92,52
728,IPCA Administrados,2022-08-18,02/2023,0.6514,0.595,0.246,1.51,24
729,IPCA Administrados,2022-08-18,02/2023,0.675,0.6,0.01,1.61,68
730,IGP-M,2022-08-18,01/2023,0.5202,0.5,0.2,0.9,27
731,IGP-M,2022-08-18,01/2023,0.5309,0.4975,0.15,1.0,78
732,IPCA,2022-08-18,01/2023,0.7563,0.7,0.35,1.41,61
733,IPCA,2022-08-18,01/2023,0.7647,0.695,0.24,1.58,134
734,Câmbio,2022-08-18,01/2023,5.1547,5.2,4.7,5.7847,47
735,Câmbio,2022-08-18,01/2023,5.1972,5.2,4.7,5.7847,109
736,Taxa de desocupação,2022-08-18,01/2023,9.0978,9.3,6.9,10.63,23
737,Taxa de desocupação,2022-08-18,01/2023,9.2095,9.25,6.9,10.63,48
738,IPCA Livres,2022-08-18,01/2023,0.5031,0.51,0.11,0.78,23
739,IPCA Livres,2022-08-18,01/2023,0.5466,0.52,0.11,1.51,63
740,IPCA Serviços,2022-08-18,01/2023,0.4456,0.45,0.2,0.68,19
741,IPCA Serviços,2022-08-18,01/2023,0.4708,0.47,0.04,1.26,53
742,IPCA Bens industrializados,2022-08-18,01/2023,0.4217,0.4,0.13,0.78,19
743,IPCA Bens industrializados,2022-08-18,01/2023,0.4378,0.42,0.06,0.89,53
744,IPCA Alimentação no domicílio,2022-08-18,01/2023,0.8741,0.84,0.4,1.94,19
745,IPCA Alimentação no domicílio,2022-08-18,01/2023,0.8673,0.86,0.16,1.94,53
746,IPCA Administrados,2022-08-18,01/2023,1.3364,0.94,0.23,3.11,24
747,IPCA Administrados,2022-08-18,01/2023,1.5737,1.31,-0.19,4.57,68
748,IGP-M,2022-08-18,12/2022,0.5695,0.55,0.2,0.8944,27
749,IGP-M,2022-08-18,12/2022,0.5976,0.6,0.2,1.3644,78
750,IPCA,2022-08-18,12/2022,0.7552,0.74,0.4,1.18,62
751,IPCA,2022-08-18,12/2022,0.7443,0.75,0.1004,1.18,138
752,Câmbio,2022-08-18,12/2022,5.1741,5.2,4.7,5.7709,48
753,Câmbio,2022-08-18,12/2022,5.2245,5.2,4.7,6.8,117
754,Taxa de desocupação,2022-08-18,12/2022,8.8841,9.0,6.7,11.2,27
755,Taxa de desocupação,2022-08-18,12/2022,8.898,9.0,6.2,11.2,55
756,IPCA Livres,2022-08-18,12/2022,0.8319,0.839,0.367,1.28,26
757,IPCA Livres,2022-08-18,12/2022,0.8287,0.839,0.367,1.28,72
758,IPCA Serviços,2022-08-18,12/2022,0.998,1.0,0.502,1.51,21
759,IPCA Serviços,2022-08-18,12/2022,0.9757,0.981,0.5,1.51,62
760,IPCA Bens industrializados,2022-08-18,12/2022,0.7198,0.715,0.169,1.19,20
761,IPCA Bens industrializados,2022-08-18,12/2022,0.6904,0.675,0.169,1.19,61
762,IPCA Alimentação no domicílio,2022-08-18,12/2022,0.7739,0.73,0.25,1.59,21
763,IPCA Alimentação no domicílio,2022-08-18,12/2022,0.7855,0.7778,0.22,1.91,62
764,IPCA Administrados,2022-08-18,12/2022,0.5209,0.5262,0.18,1.01,28
765,IPCA Administrados,2022-08-18,12/2022,0.5625,0.53,0.18,1.39,78
766,IGP-M,2022-08-18,11/2022,0.5841,0.6,0.2,1.1,27
767,IGP-M,2022-08-18,11/2022,0.6367,0.6,0.2,1.4345,78
768,IPCA,2022-08-18,11/2022,0.528,0.528,0.32,0.76,62
769,IPCA,2022-08-18,11/2022,0.5252,0.523,0.17,0.76,138
770,Câmbio,2022-08-18,11/2022,5.224,5.2,4.75,5.7724,47
771,Câmbio,2022-08-18,11/2022,5.2698,5.25,4.73,5.7724,111
772,Taxa de desocupação,2022-08-18,11/2022,8.7838,8.75,7.0,9.9,24
773,Taxa de desocupação,2022-08-18,11/2022,8.878,8.8819,6.7,10.0,50
774,IPCA Livres,2022-08-18,11/2022,0.4683,0.45,0.19,0.79,26
775,IPCA Livres,2022-08-18,11/2022,0.4594,0.455,0.0,0.79,72
776,IPCA Serviços,2022-08-18,11/2022,0.5275,0.52,0.241,0.75,21
777,IPCA Serviços,2022-08-18,11/2022,0.5395,0.535,0.241,0.8,62
778,IPCA Bens industrializados,2022-08-18,11/2022,0.3559,0.28,0.01,0.89,20
779,IPCA Bens industrializados,2022-08-18,11/2022,0.3812,0.37,-0.13,0.89,61
780,IPCA Alimentação no domicílio,2022-08-18,11/2022,0.4656,0.47,-0.2,1.05,21
781,IPCA Alimentação no domicílio,2022-08-18,11/2022,0.4857,0.495,-0.2,1.05,62
782,IPCA Administrados,2022-08-18,11/2022,0.6294,0.665,-0.26,1.84,28
783,IPCA Administrados,2022-08-18,11/2022,0.6336,0.63,-0.26,1.84,78
784,IGP-M,2022-08-18,10/2022,0.5618,0.565,0.03,1.05,28
785,IGP-M,2022-08-18,10/2022,0.6323,0.63,0.03,1.05,79
786,IPCA,2022-08-18,10/2022,0.5297,0.55,0.25,0.78,62
787,IPCA,2022-08-18,10/2022,0.5416,0.5406,0.1902,0.9,139
788,Câmbio,2022-08-18,10/2022,5.2836,5.25,4.85,5.7728,47
789,Câmbio,2022-08-18,10/2022,5.3213,5.3,4.85,5.9,111
790,Taxa de desocupação,2022-08-18,10/2022,8.8758,8.8,7.4,10.0,24
791,Taxa de desocupação,2022-08-18,10/2022,8.9531,8.9,7.2,10.0,50
792,IPCA Livres,2022-08-18,10/2022,0.5599,0.6,0.22,0.8,27
793,IPCA Livres,2022-08-18,10/2022,0.5777,0.59,0.186,1.08,74
794,IPCA Serviços,2022-08-18,10/2022,0.6241,0.635,0.32,1.06,22
795,IPCA Serviços,2022-08-18,10/2022,0.5934,0.605,-0.035,1.06,64
796,IPCA Bens industrializados,2022-08-18,10/2022,0.6846,0.65,0.066,1.42,21
797,IPCA Bens industrializados,2022-08-18,10/2022,0.6557,0.64,0.066,1.42,63
798,IPCA Alimentação no domicílio,2022-08-18,10/2022,0.3768,0.381,-0.22,0.88,22
799,IPCA Alimentação no domicílio,2022-08-18,10/2022,0.4221,0.41,-0.37,1.83,64
800,IPCA Administrados,2022-08-18,10/2022,0.3532,0.42,-0.48,0.85,29
801,IPCA Administrados,2022-08-18,10/2022,0.4404,0.435,-0.48,0.97,80
802,IGP-M,2022-08-18,09/2022,0.3723,0.41,-0.39,0.7875,28
803,IGP-M,2022-08-18,09/2022,0.4832,0.5032,-0.39,0.9278,79
804,IPCA,2022-08-18,09/2022,0.4035,0.4,0.05,0.75,62
805,IPCA,2022-08-18,09/2022,0.444,0.45,0.05,0.75,141
806,Câmbio,2022-08-18,09/2022,5.2545,5.2,4.95,5.7569,47
807,Câmbio,2022-08-18,09/2022,5.2958,5.3,4.95,5.7569,111
808,Taxa de desocupação,2022-08-18,09/2022,8.9529,8.85,7.8,10.1,24
809,Taxa de desocupação,2022-08-18,09/2022,9.0164,9.0,7.7,10.1,51
810,IPCA Livres,2022-08-18,09/2022,0.4962,0.4925,0.184,0.77,27
811,IPCA Livres,2022-08-18,09/2022,0.5099,0.535,0.0,0.83,76
812,IPCA Serviços,2022-08-18,09/2022,0.6633,0.645,0.259,0.85,22
813,IPCA Serviços,2022-08-18,09/2022,0.6401,0.645,0.16,0.96,66
814,IPCA Bens industrializados,2022-08-18,09/2022,0.5151,0.56,0.038,0.89,21
815,IPCA Bens industrializados,2022-08-18,09/2022,0.5197,0.5405,0.038,1.0,65
816,IPCA Alimentação no domicílio,2022-08-18,09/2022,0.2024,0.165,-0.72,1.45,22
817,IPCA Alimentação no domicílio,2022-08-18,09/2022,0.2673,0.29,-0.72,1.45,66
818,IPCA Administrados,2022-08-18,09/2022,0.0137,0.05,-0.68,0.59,29
819,IPCA Administrados,2022-08-18,09/2022,0.2,0.31,-1.91,0.91,82
820,IGP-M,2022-08-18,08/2022,-0.2188,-0.375,-0.71,0.5,28
821,IGP-M,2022-08-18,08/2022,-0.0024,0.1,-0.8956,0.6946,79
822,IPCA,2022-08-18,08/2022,-0.2503,-0.245,-0.49,0.1,62
823,IPCA,2022-08-18,08/2022,-0.1828,-0.2,-0.51,0.55,141
824,Câmbio,2022-08-18,08/2022,5.2048,5.18,5.0,5.6784,47
825,Câmbio,2022-08-18,08/2022,5.2415,5.2,4.91,5.6784,111
826,Taxa de desocupação,2022-08-18,08/2022,9.0088,8.99,8.0,10.0,24
827,Taxa de desocupação,2022-08-18,08/2022,9.0785,9.05,8.0,10.0,50
828,IPCA Livres,2022-08-18,08/2022,0.322,0.34,-0.07,0.52,27
829,IPCA Livres,2022-08-18,08/2022,0.3392,0.358,-0.14,0.64,76
830,IPCA Serviços,2022-08-18,08/2022,0.3538,0.365,0.0,0.67,22
831,IPCA Serviços,2022-08-18,08/2022,0.2818,0.32,-0.65,0.67,66
832,IPCA Bens industrializados,2022-08-18,08/2022,0.379,0.38,0.105,0.73,21
833,IPCA Bens industrializados,2022-08-18,08/2022,0.4145,0.4,0.08,0.99,65
834,IPCA Alimentação no domicílio,2022-08-18,08/2022,0.2407,0.263,-0.72,1.1,22
835,IPCA Alimentação no domicílio,2022-08-18,08/2022,0.4555,0.4492,-0.72,1.4,66
836,IPCA Administrados,2022-08-18,08/2022,-1.6477,-1.79,-2.55,-0.05,29
837,IPCA Administrados,2022-08-18,08/2022,-1.5352,-1.66,-2.76,1.6,82
838,Taxa de desocupação,2022-08-18,07/2022,9.1592,9.1,8.7,10.1,24
839,Taxa de desocupação,2022-08-18,07/2022,9.1892,9.165,8.63,10.1,50
840,IPCA,2022-08-17,08/2024,0.1669,0.155,-0.03,0.41,24
841,IPCA,2022-08-17,08/2024,0.1674,0.155,-0.03,0.41,30
842,IPCA Livres,2022-08-17,08/2024,0.1544,0.1607,0.01,0.3,7
843,IPCA Livres,2022-08-17,08/2024,0.1551,0.1654,0.01,0.3,10
844,IPCA Serviços,2022-08-17,08/2024,0.1792,0.19,0.0858,0.25,5
845,IPCA Serviços,2022-08-17,08/2024,0.1826,0.195,0.0858,0.25,6
846,IPCA Bens industrializados,2022-08-17,08/2024,0.2297,0.19,0.1687,0.35,5
847,IPCA Bens industrializados,2022-08-17,08/2024,0.2248,0.195,0.1687,0.35,6
848,IPCA Alimentação no domicílio,2022-08-17,08/2024,-0.0254,0.15,-0.53,0.303,5
849,IPCA Alimentação no domicílio,2022-08-17,08/2024,0.0038,0.15,-0.53,0.303,6
850,IPCA Administrados,2022-08-17,08/2024,0.1558,0.17,-0.2,0.3507,7
851,IPCA Administrados,2022-08-17,08/2024,0.1834,0.17,-0.2,0.4,11
852,IPCA,2022-08-17,07/2024,0.2182,0.22,0.02,0.38,36
853,IPCA,2022-08-17,07/2024,0.2141,0.2199,-0.05,0.55,86
854,Câmbio,2022-08-17,07/2024,5.0595,5.04,4.0,5.5,26
855,Câmbio,2022-08-17,07/2024,5.0886,5.1,4.0,5.5153,47
856,IPCA Livres,2022-08-17,07/2024,0.2012,0.185,0.009,0.4,14
857,IPCA Livres,2022-08-17,07/2024,0.2189,0.2,-0.05,0.52,43
858,IPCA Serviços,2022-08-17,07/2024,0.3786,0.4,0.19,0.5374,9
859,IPCA Serviços,2022-08-17,07/2024,0.3584,0.31,0.11,0.7,32
860,IPCA Bens industrializados,2022-08-17,07/2024,0.2023,0.21,-0.02,0.45,10
861,IPCA Bens industrializados,2022-08-17,07/2024,0.1778,0.2,-0.22,0.56,35
862,IPCA Alimentação no domicílio,2022-08-17,07/2024,0.0413,0.0967,-0.3,0.27,10
863,IPCA Alimentação no domicílio,2022-08-17,07/2024,0.0769,0.0667,-0.79,1.22,34
864,IPCA Administrados,2022-08-17,07/2024,0.2961,0.35,-0.3,0.53,13
865,IPCA Administrados,2022-08-17,07/2024,0.3405,0.35,-0.3,0.575,44
866,IPCA,2022-08-17,06/2024,0.2346,0.2131,0.05,0.55,38
867,IPCA,2022-08-17,06/2024,0.2254,0.21,0.0305,0.55,92
868,Câmbio,2022-08-17,06/2024,5.0726,5.05,4.0,5.5,34
869,Câmbio,2022-08-17,06/2024,5.1205,5.1,4.0,5.73,80
870,IPCA Livres,2022-08-17,06/2024,0.2357,0.21,0.05,0.47,14
871,IPCA Livres,2022-08-17,06/2024,0.2362,0.2,0.023,0.5,44
872,IPCA Serviços,2022-08-17,06/2024,0.3633,0.35,0.18,0.7,10
873,IPCA Serviços,2022-08-17,06/2024,0.3392,0.315,0.07,0.7,34
874,IPCA Bens industrializados,2022-08-17,06/2024,0.2468,0.215,0.12,0.41,10
875,IPCA Bens industrializados,2022-08-17,06/2024,0.2337,0.22,-0.05,0.7,35
876,IPCA Alimentação no domicílio,2022-08-17,06/2024,0.1653,0.2,-0.18,0.46,10
877,IPCA Alimentação no domicílio,2022-08-17,06/2024,0.1207,0.2,-0.45,0.56,35
878,IPCA Administrados,2022-08-17,06/2024,0.2572,0.31,-0.18,0.6,13
879,IPCA Administrados,2022-08-17,06/2024,0.3189,0.3,-0.18,1.28,44
880,IPCA,2022-08-17,05/2024,0.2569,0.265,-0.12,0.51,38
881,IPCA,2022-08-17,05/2024,0.2472,0.24,-0.12,0.51,92
882,Câmbio,2022-08-17,05/2024,5.0729,5.08,4.0,5.5,35
883,Câmbio,2022-08-17,05/2024,5.1313,5.105,4.0,5.81,82
884,IPCA Livres,2022-08-17,05/2024,0.1805,0.2,-0.12,0.36,14
885,IPCA Livres,2022-08-17,05/2024,0.19,0.2,-0.16,0.5,44
886,IPCA Serviços,2022-08-17,05/2024,0.2055,0.185,-0.12,0.55,10
887,IPCA Serviços,2022-08-17,05/2024,0.1987,0.2,-0.14,0.55,34
888,IPCA Bens industrializados,2022-08-17,05/2024,0.2825,0.285,-0.12,0.7,10
889,IPCA Bens industrializados,2022-08-17,05/2024,0.2367,0.25,-0.28,0.7,35
890,IPCA Alimentação no domicílio,2022-08-17,05/2024,0.244,0.245,-0.1698,0.5,10
891,IPCA Alimentação no domicílio,2022-08-17,05/2024,0.1263,0.22,-0.72,0.5,35
892,IPCA Administrados,2022-08-17,05/2024,0.3401,0.34,-0.12,0.96,14
893,IPCA Administrados,2022-08-17,05/2024,0.4668,0.38,-0.12,1.52,45
894,IPCA,2022-08-17,04/2024,0.3195,0.31,0.17,0.52,39
895,IPCA,2022-08-17,04/2024,0.3248,0.31,0.17,0.69,93
896,Câmbio,2022-08-17,04/2024,5.0727,5.1,4.0,5.5,35
897,Câmbio,2022-08-17,04/2024,5.1328,5.11,4.0,5.8,82
898,IPCA Livres,2022-08-17,04/2024,0.3111,0.3,0.2,0.45,15
899,IPCA Livres,2022-08-17,04/2024,0.3265,0.3,0.2,0.8,46
900,IPCA Serviços,2022-08-17,04/2024,0.3687,0.375,0.09,0.65,10
901,IPCA Serviços,2022-08-17,04/2024,0.3273,0.32,0.09,0.65,34
902,IPCA Bens industrializados,2022-08-17,04/2024,0.3847,0.3183,0.19,0.65,10
903,IPCA Bens industrializados,2022-08-17,04/2024,0.2816,0.29,0.03,0.65,35
904,IPCA Alimentação no domicílio,2022-08-17,04/2024,0.4805,0.475,-0.0649,1.0,10
905,IPCA Alimentação no domicílio,2022-08-17,04/2024,0.4716,0.5,-0.0649,1.0,35
906,IPCA Administrados,2022-08-17,04/2024,0.3747,0.34,0.04,0.7947,14
907,IPCA Administrados,2022-08-17,04/2024,0.405,0.4,-0.28,1.0,46
908,IPCA,2022-08-17,03/2024,0.3121,0.3,0.14,0.52,39
909,IPCA,2022-08-17,03/2024,0.3355,0.3,0.14,0.9562,94
910,Câmbio,2022-08-17,03/2024,5.0792,5.1,4.0,5.5,36
911,Câmbio,2022-08-17,03/2024,5.138,5.14,4.0,5.79,84
912,IPCA Livres,2022-08-17,03/2024,0.3034,0.3,0.2,0.4,15
913,IPCA Livres,2022-08-17,03/2024,0.3371,0.3207,0.14,0.73,46
914,IPCA Serviços,2022-08-17,03/2024,0.3331,0.3,0.16,0.754,10
915,IPCA Serviços,2022-08-17,03/2024,0.3003,0.285,0.06,0.754,34
916,IPCA Bens industrializados,2022-08-17,03/2024,0.3501,0.3,0.19,0.7,10
917,IPCA Bens industrializados,2022-08-17,03/2024,0.2923,0.3,0.05,0.7,35
918,IPCA Alimentação no domicílio,2022-08-17,03/2024,0.6442,0.535,0.2015,1.36,10
919,IPCA Alimentação no domicílio,2022-08-17,03/2024,0.568,0.5,-0.32,1.36,35
920,IPCA Administrados,2022-08-17,03/2024,0.3873,0.325,0.2,1.0,14
921,IPCA Administrados,2022-08-17,03/2024,0.4056,0.34,-0.05,1.12,46
922,IPCA,2022-08-17,02/2024,0.4011,0.39,0.2,0.8,40
923,IPCA,2022-08-17,02/2024,0.4222,0.4,0.2,0.8,95
924,Câmbio,2022-08-17,02/2024,5.0706,5.06,4.0,5.5,36
925,Câmbio,2022-08-17,02/2024,5.1358,5.14,4.0,5.78,84
926,IPCA Livres,2022-08-17,02/2024,0.4408,0.43,0.25,0.65,15
927,IPCA Livres,2022-08-17,02/2024,0.481,0.5,0.25,0.8,46
928,IPCA Serviços,2022-08-17,02/2024,0.7467,0.7583,0.3,1.3,10
929,IPCA Serviços,2022-08-17,02/2024,0.6802,0.685,0.3,1.3,34
930,IPCA Bens industrializados,2022-08-17,02/2024,0.2871,0.24,0.11,0.8,10
931,IPCA Bens industrializados,2022-08-17,02/2024,0.3009,0.28,-0.08,0.8,35
932,IPCA Alimentação no domicílio,2022-08-17,02/2024,0.2563,0.26,-0.02,0.7,10
933,IPCA Alimentação no domicílio,2022-08-17,02/2024,0.2981,0.27,-0.27,0.86,35
934,IPCA Administrados,2022-08-17,02/2024,0.3243,0.285,-0.02,0.7,14
935,IPCA Administrados,2022-08-17,02/2024,0.3519,0.33,-0.02,0.9,46
936,IGP-M,2022-08-17,01/2024,0.3731,0.3815,0.18,0.5,16
937,IGP-M,2022-08-17,01/2024,0.3648,0.4,-0.8454,0.63,39
938,IPCA,2022-08-17,01/2024,0.4357,0.4,0.17,0.8,40
939,IPCA,2022-08-17,01/2024,0.4075,0.395,0.0,0.8,96
940,Câmbio,2022-08-17,01/2024,5.0695,5.055,4.0,5.5,36
941,Câmbio,2022-08-17,01/2024,5.1348,5.15,4.0,5.77,85
942,IPCA Livres,2022-08-17,01/2024,0.3953,0.38,0.23,0.6,15
943,IPCA Livres,2022-08-17,01/2024,0.4103,0.4,0.23,0.77,46
944,IPCA Serviços,2022-08-17,01/2024,0.3697,0.315,0.2566,0.68,10
945,IPCA Serviços,2022-08-17,01/2024,0.3693,0.325,-0.01,0.68,34
946,IPCA Bens industrializados,2022-08-17,01/2024,0.3775,0.29,0.0451,0.7,10
947,IPCA Bens industrializados,2022-08-17,01/2024,0.3188,0.3,0.0,0.79,36
948,IPCA Alimentação no domicílio,2022-08-17,01/2024,0.8207,0.81,0.27,1.18,10
949,IPCA Alimentação no domicílio,2022-08-17,01/2024,0.7033,0.71,0.2,1.21,35
950,IPCA Administrados,2022-08-17,01/2024,0.4348,0.465,0.02,1.05,14
951,IPCA Administrados,2022-08-17,01/2024,0.4537,0.45,-0.33,2.1,46
952,IGP-M,2022-08-17,12/2023,0.4413,0.458,-0.02,0.7949,27
953,IGP-M,2022-08-17,12/2023,0.4496,0.45,-0.3402,1.0635,75
954,IPCA,2022-08-17,12/2023,0.5468,0.5289,0.16,1.5553,64
955,IPCA,2022-08-17,12/2023,0.5238,0.53,-0.1537,1.5553,134
956,Câmbio,2022-08-17,12/2023,5.0917,5.1,4.0,5.9184,48
957,Câmbio,2022-08-17,12/2023,5.1406,5.19,4.0,5.9184,114
958,Taxa de desocupação,2022-08-17,12/2023,9.5148,9.6,7.1,11.0,23
959,Taxa de desocupação,2022-08-17,12/2023,9.4338,9.59,7.0,11.6,52
960,IPCA Livres,2022-08-17,12/2023,0.6601,0.6247,0.3,1.16,22
961,IPCA Livres,2022-08-17,12/2023,0.6183,0.62,0.3,1.16,63
962,IPCA Serviços,2022-08-17,12/2023,0.7313,0.7886,0.31,1.06,17
963,IPCA Serviços,2022-08-17,12/2023,0.702,0.73,0.3,1.13,52
964,IPCA Bens industrializados,2022-08-17,12/2023,0.4381,0.3882,0.1,0.71,17
965,IPCA Bens industrializados,2022-08-17,12/2023,0.4514,0.4206,0.1,0.83,52
966,IPCA Alimentação no domicílio,2022-08-17,12/2023,0.7916,0.73,0.2143,2.42,17
967,IPCA Alimentação no domicílio,2022-08-17,12/2023,0.6986,0.6515,-0.0474,2.42,52
968,IPCA Administrados,2022-08-17,12/2023,0.304,0.3,-0.4942,0.73,21
969,IPCA Administrados,2022-08-17,12/2023,0.2797,0.315,-0.98,1.33,68
970,IGP-M,2022-08-17,11/2023,0.468,0.403,-0.09,0.98,27
971,IGP-M,2022-08-17,11/2023,0.4536,0.41,-0.09,0.98,75
972,IPCA,2022-08-17,11/2023,0.362,0.38,-0.104,0.58,64
973,IPCA,2022-08-17,11/2023,0.3643,0.38,-0.104,0.58,134
974,Câmbio,2022-08-17,11/2023,5.0992,5.1,4.0,5.9605,45
975,Câmbio,2022-08-17,11/2023,5.1556,5.2,4.0,5.9605,105
976,Taxa de desocupação,2022-08-17,11/2023,9.5011,9.7,7.5,11.0,19
977,Taxa de desocupação,2022-08-17,11/2023,9.4305,9.72,4.7,11.4,48
978,IPCA Livres,2022-08-17,11/2023,0.3495,0.33,0.07,0.59,22
979,IPCA Livres,2022-08-17,11/2023,0.322,0.33,-0.19,0.66,63
980,IPCA Serviços,2022-08-17,11/2023,0.3786,0.35,0.29,0.52,17
981,IPCA Serviços,2022-08-17,11/2023,0.3586,0.35,0.18,0.58,52
982,IPCA Bens industrializados,2022-08-17,11/2023,0.2308,0.29,-0.22,0.4,17
983,IPCA Bens industrializados,2022-08-17,11/2023,0.2208,0.25,-0.22,0.75,52
984,IPCA Alimentação no domicílio,2022-08-17,11/2023,0.4978,0.46,-0.08,1.12,17
985,IPCA Alimentação no domicílio,2022-08-17,11/2023,0.4937,0.5,-0.08,1.13,52
986,IPCA Administrados,2022-08-17,11/2023,0.4123,0.4,0.1,0.75,21
987,IPCA Administrados,2022-08-17,11/2023,0.3976,0.4,-0.3,0.96,68
988,IGP-M,2022-08-17,10/2023,0.4739,0.438,0.25,0.84,27
989,IGP-M,2022-08-17,10/2023,0.4756,0.45,0.25,0.84,75
990,IPCA,2022-08-17,10/2023,0.3829,0.39,-0.104,0.76,64
991,IPCA,2022-08-17,10/2023,0.3908,0.4,-0.104,0.76,134
992,Câmbio,2022-08-17,10/2023,5.1028,5.1,4.1,6.0141,45
993,Câmbio,2022-08-17,10/2023,5.1579,5.2,4.1,6.0141,105
994,Taxa de desocupação,2022-08-17,10/2023,9.6184,9.8,8.0,11.0,19
995,Taxa de desocupação,2022-08-17,10/2023,9.541,9.8,5.2,11.59,48
996,IPCA Livres,2022-08-17,10/2023,0.4367,0.395,0.22,0.82,22
997,IPCA Livres,2022-08-17,10/2023,0.4311,0.41,0.2,0.82,63
998,IPCA Serviços,2022-08-17,10/2023,0.4556,0.44,0.29,0.72,17
999,IPCA Serviços,2022-08-17,10/2023,0.428,0.4,0.19,0.8,52
